Article Title,Month,Author,Page Count,Top Five Terms,Top Ship Class,Word Analysis URL,Corpus URL
A Balanced Fleet for the United States,Jul-25,CPT J. K. Taussig,25,"Fleet, Ships, Naval, Vessels, Navy",Cruiser,https://voyant-tools.org/?corpus=8b3fcb180f589ff903a57d28e74dfe52,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/7_1.0_Battlefleet
Professional Notes,Jul-25,Various,62,"Ships, Naval, Ship, British, State",Cruiser,https://voyant-tools.org/?corpus=f7ca096904fafe6b861b776c41018954,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/7_Professional-Notes
National Strategy,Aug-25,LT. CDR. H.H. Frost,57,"Forces, War, Enemy, Economic, Army",Submarine,https://voyant-tools.org/?corpus=a49339d8109450258928357c2da86557,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/8_1.0_National%20Strategy
Professional Notes,Aug-25,Various,69,"War, Naval,United, Ships, States",Cruiser,https://voyant-tools.org/?corpus=91a8a7d843a9cc947d712404d297b9f7,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/8_Professional-Notes
The Panama Canal's Biggest Ship,Sep-25,CPT A. W. Hinds,3,"Feet, Hood (as in HMS Hood), Ship, Canal, Lock",Battleship,https://voyant-tools.org/?corpus=6cedd9bafe87e20aaccab11445dd9bf2,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/9_1.8_Panama-Canal
Professional Notes,Sep-25,Various,63,"Ships, Tons, Naval, Power, Air",Submarine,https://voyant-tools.org/?corpus=99746ded233b7944ff76677ecdb08246,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/9_Professional-Notes
The Elements of Seapower and the Future of the Navy,Oct-25,ADM E. W. Eberle,5,"Navy, Sea, Naval, War, Forces",Destroyer,https://voyant-tools.org/?corpus=680af977887635adde83e8148fbe0fa2,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/10_1.2_Elements-of-Seapower
Comparative Naval Data for the Treaty Navies,Oct-25,None Listed,5,"Tons, Empire, France, Italy, Submarines",Submarine,https://voyant-tools.org/?corpus=879ba3ad235c412c965cbb24c771201f,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/10_1.6_Report-on-Treat--navies
Professional Notes,Oct-25,Various,81,"War, States, Great, Naval, United",Cruiser,https://voyant-tools.org/?corpus=9082cf248d672ed83ff4fcc4d1fd4ce2,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/10_Professional-Notes
Post Treaty Naval Design,Nov-25,Hector C. Bywater and Maurice Pendergast,12,"Aircraft, Treaty, Inch, Ship, Naval",Cruiser,https://voyant-tools.org/?corpus=5d2bd6767f0de69ba541a72108d7625d,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/11_1.7_Treaty-Design
Professional Notes,Nov-25,Various,55,"Naval, War, Navy, Ships, British",Cruiser,https://voyant-tools.org/?corpus=77f5a014a34881a20a178ff579191a4a,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/11_Professional-Notes
The War Staff Idea Afloat,Dec-25,LT H. J. Wright,7,"Staff, War, Command, General, Commander ",None,https://voyant-tools.org/?corpus=413679bece036d105444f6e47fa1df25,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/12_1.9_War-Staff-Afloat
Professional Notes,Dec-25,Various,72,"War, Air, Naval, Ships, States",Battleship ,https://voyant-tools.org/?corpus=80e8267aba3430d59a89671283ea44a5,https://github.com/comp-methods-fsu-2021/Ward_Corpus/blob/main/12_Professional-Notes
